,Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets count,User
0,0.0,,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","DACA recipient Erika Andiola on a wall along the U.S.-Mexican border: ""It's always just being used as a political s… https://t.co/gFUltSTlFn",0,FoxNews
1,0.0,,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Arizona rancher Jim Chilton: ""We need a wall."" #TownHallAmerica https://t.co/hrGeMBpPgF",1,FoxNews
2,0.0,,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Teen fires arrow at cougar, saving life of her 6-year-old brother. https://t.co/JK3JdXNIql",2,FoxNews
3,-0.5994,,0.726,0.274,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Trump foes Claire McCaskill, Jon Tester vulnerable in pivotal Senate races, new poll shows. https://t.co/fPOd8RYHvB",3,FoxNews
4,-0.5423,,0.409,0.361,0.23,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Girl, 17, accused of killing 16-year-old classmate was 'smiling and laughing' during attack, reports say. https://t.co/oJVXiPtJio",4,FoxNews
5,-0.5574,,0.769,0.231,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Man bitten by shark in Cape Cod waters has died, police say. https://t.co/A1PgP2nXTq",5,FoxNews
6,0.0,,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",New Hampshire mom whose teen daughters got selfies with candidates including Trump runs for office. https://t.co/PcDTYDQhIJ,6,FoxNews
7,-0.5719,,0.764,0.236,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Ryanair passenger catches baggage handler on camera opening suitcase and stealing speaker. https://t.co/OyVey8vSa8,7,FoxNews
8,0.1531,,0.89,0.0,0.11,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Pregnant Carrie Underwood reveals she had three miscarriages last year in emotional interview. https://t.co/P8TVxwxUh6,8,FoxNews
9,0.0,,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Paul McCartney reveals new song about climate change is directed at Donald Trump.
https://t.co/gBlOJHFIZL",9,FoxNews
10,0.0,,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",".@FEMA_Brock: ""We have got to come together as a country to focus on the rebuilding of Puerto Rico and building a r… https://t.co/Q8NPMYUqrS",10,FoxNews
11,0.0,,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @MikeEmanuelFox: Judiciary spokesman tells #Fox given the late addendum to the background file and revelations of Dr. Ford’s identity, C…",11,FoxNews
12,0.0,,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Buffalo Bills CB Vontae Davis reportedly retires at halftime of game. https://t.co/03hjCnfY7X,12,FoxNews
13,0.34,,0.882,0.0,0.118,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Sen. @LindseyGrahamSC said in a statement late Sunday he'd ""gladly listen"" to Christine Ford so that he could compa… https://t.co/TGSVPjfXNd",13,FoxNews
14,-0.34,,0.806,0.194,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Kentucky woman 'defecated' on deputy to resist arrest, cops say. https://t.co/vjaEkgaURR",14,FoxNews
15,-0.6486,,0.751,0.249,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Massive typhoon moving across Southeast Asia has left dozens dead. @kittyloganmedia reports. https://t.co/EzZkNZ8Rvq https://t.co/r1PVYX5Opw,15,FoxNews
16,0.4939,,0.775,0.0,0.225,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",.@Franklin_Graham: Weathering Hurricane Florence – there is strength in togetherness. (via @FoxNewsOpinion) https://t.co/lTRa88lAa3,16,FoxNews
17,0.4767,,0.846,0.0,0.154,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","“I think full transparency is in order here.” 

Rep. @DevinNunes joins calls for the Intelligence Committee's Russi… https://t.co/iLL4vvb5uL",17,FoxNews
18,-0.5106,,0.752,0.248,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Philippines Airport passengers panic over snake sighting in departures lounge. https://t.co/J5rTZk5ghO,18,FoxNews
19,0.0,,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Judiciary Committee Chairman @ChuckGrassley releases statement on Kavanaugh accuser. https://t.co/eKB4DQxlhr https://t.co/bRhn8tss50,19,FoxNews
20,0.0,,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Google's China prototype reportedly links searches to phone numbers. https://t.co/s1ETAjgAv2,20,FoxNews
21,-0.0516,,0.593,0.212,0.195,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Retired admiral who criticized Trump leaves Pentagon board. https://t.co/zRMziZ8kfg,21,FoxNews
22,0.0,,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Boy brings cocaine-filled balloons to school, sending 13 kids to the hospital, authorities say. https://t.co/72JLCzzgUr",22,FoxNews
23,0.4019,,0.828,0.0,0.172,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Lisa Page testimony: Collusion still unproven by time of Mueller's special counsel appointment https://t.co/ZqW2wNiNvT,23,FoxNews
24,-0.8885,,0.488,0.512,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",'Serial killer' Border Patrol agent accused of 4 murders held in $2.5M bond. https://t.co/8xpUX5DHiA,24,FoxNews
25,-0.5413,,0.741,0.259,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",".@RepHolding: ""We still have more catastrophic flooding on the way."" https://t.co/ewHUg4gtEJ",25,FoxNews
26,0.296,,0.864,0.0,0.136,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Test messages for federal alert systems to be sent to cellphones Thursday, @FEMA says. https://t.co/3t6l8vRGZl",26,FoxNews
27,0.4019,,0.748,0.0,0.252,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Wisconsin squirrels freed from 'Gordion knot' of tails. https://t.co/RMrcFv77Vp,27,FoxNews
28,0.0,,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",'I'm Assuming I'm Not Going to Get an Answer': Ocasio-Cortez Pressed on $40T Policy Plan. https://t.co/1VTrVCkfsv,28,FoxNews
29,0.5267,,0.866,0.0,0.134,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TONIGHT: Gregg Jarrett and Bradley Smith sit down with Mark Levin on ""Life, Liberty, &amp; Levin"" - Tune in at 10p ET o… https://t.co/Zv5C3MV2I8",29,FoxNews
30,-0.4939,,0.842,0.158,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Catastrophic flooding and the potential for tornadoes still plague the Carolinas in the wake of Hurricane Florence.… https://t.co/UBeQEW2Yvr,30,FoxNews
31,0.0,,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Alleged 'looters' in Florence-ravaged North Carolina sought by police. https://t.co/dPMkLpUXRv,31,FoxNews
32,-0.1779,,0.884,0.116,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Syria is accusing Israel of airstrikes near the Damascus International Airport. @TreyYingst reports. https://t.co/K3pLwVIar4,32,FoxNews
33,0.0,,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Phoenix Airport returning to normal operations after shutting down terminal for police investigation. https://t.co/nVPA8rkLKx,33,FoxNews
34,-0.7964,,0.559,0.441,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Palestinian teen fatally stabs American-Israeli activist in the West Bank. https://t.co/XbLxmnKQhA,34,FoxNews
35,-0.5994,,0.782,0.218,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",LATEST: The death toll from Florence rises to at least 15 in the Carolinas. https://t.co/sFCggBrNOK,35,FoxNews
36,-0.4588,,0.857,0.143,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Residents in Massachusetts are being allowed to return to their homes after thousands were forced to evacuate after… https://t.co/AAiR0XBu3f,36,FoxNews
37,-0.2023,,0.899,0.101,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Investigators are calling the U.S. border patrol agent charged in the deaths of four a ""serial killer.""… https://t.co/vM80PWl5Su",37,FoxNews
38,-0.7717,,0.676,0.324,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Former NHL player called 'disgusting,' receives death threats after posting pictures of grizzly bear hunt. https://t.co/GD3K7AY2I6",38,FoxNews
39,0.4019,,0.847,0.0,0.153,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","TONIGHT: Fox News Channel presents a special “Town Hall America with @HARRISFAULKNER,” focusing on hot-button issue… https://t.co/56gecsg8nk",39,FoxNews
40,0.5574,,0.606,0.106,0.288,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",.@JudgeJeanine: @SenFeinstein's handling of Kavanaugh letter shows complete disregard for truth and justice. (via… https://t.co/DuiQtHMCk5,40,FoxNews
41,0.0,,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Dolphins players continue to kneel during national anthem. https://t.co/8RulGauHIM,41,FoxNews
42,-0.1779,,0.918,0.082,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",The White House says it's standing by Brett Kavanaugh after a woman accusing him of sexual misconduct speaks out to… https://t.co/EP6kepV0Rh,42,FoxNews
43,0.0,,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","President Trump 'not going to survive' testimony by Paul Manafort, former Obama ethics czar predicts. https://t.co/XmJQYGSP52",43,FoxNews
44,0.0,,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Biden bemoans not speaking out against Trump sooner as speculation continues over a possible 2020 run. https://t.co/l0Ia5kHjeP,44,FoxNews
45,-0.7003,,0.655,0.345,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",California professor Christine Ford claims Kavanaugh sexually assaulted her: 'It derailed me' https://t.co/BVGmNJNWON,45,FoxNews
46,-0.3818,,0.843,0.157,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",South Carolina Governor @henrymcmaster holds a news briefing with emergency response officials on Florence's impact… https://t.co/IEdEdgluru,46,FoxNews
47,0.0,,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @EricShawnTV: More live coverage of #Florence and the breaking news about the claims against #JudgeKavanaugh. I anchor @FoxNews at 3 pm…,47,FoxNews
48,0.0,,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",".@senthomtillis: ""We're going to have more evacuation notices as the rivers rise and after they overflow their bank… https://t.co/YW4l1C4otF",48,FoxNews
49,0.0,,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",".@FEMA_Brock on Florence's continuing impact: ""Unfortunately, we've still got several days to go."" #FNS… https://t.co/Cm52ewxlso",49,FoxNews
50,0.2023,,0.899,0.0,0.101,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @MikeEmanuelFox: #2018Midterms: @RepGaramendi on the chances of a “blue wave” in November - my interview from @ANHQDC:

https://t.co/P45…",50,FoxNews
51,0.0516,,0.93,0.0,0.07,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Jackie Kennedy Onassis was 'horrified' of recluse aunt, cousin living in crumbling Grey Gardens, book claims https://t.co/CIEAO20XR2",51,FoxNews
52,-0.296,,0.864,0.136,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","London mayor calls for second referendum on Brexit, says negotiations are 'mired in confusion' https://t.co/Hpbs3MhrE9",52,FoxNews
53,0.0,,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FEMA director says there's 'difference between direct deaths and indirect deaths' in Puerto Rico, following Trump r… https://t.co/ofQjWJVv0c",53,FoxNews
54,0.4215,,0.843,0.0,0.157,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",.@NC_Governor: “More than 900 lives have been saved by first responders rescuing survivors from floodwaters.”… https://t.co/i31cwADtz2,54,FoxNews
55,0.0258,,0.932,0.0,0.068,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",.@NC_Governor: “We are working now and doing everything we can to prevent more deaths.” https://t.co/6s0pmLfqVU https://t.co/4Xl8daPbof,55,FoxNews
